timestamp,pm1,pm2_5,pm4,pm10
2025-09-01T11:01:04,16138.000,38429.000,16153.000,42760.000
2025-09-01T11:01:11,16139.000,46828.000,16155.000,1404.000
2025-09-01T11:17:01,2.000,2.000,2.000,2.000
2025-09-01T11:17:08,2.000,2.000,2.000,2.000
2025-09-01T11:17:15,1.000,1.000,1.000,1.000
2025-09-01T11:17:22,1.000,1.000,1.000,1.000
2025-09-01T11:17:29,1.000,1.000,1.000,1.000
2025-09-01T11:17:36,1.000,1.000,1.000,1.000
2025-09-01T11:17:43,1.000,1.000,1.000,1.000
2025-09-01T11:17:50,1.000,1.000,1.000,1.000
2025-09-01T11:17:57,1.000,1.000,1.000,1.000
2025-09-01T11:18:04,1.000,1.000,1.000,1.000
2025-09-01T11:18:11,1.000,1.000,1.000,1.000
2025-09-01T11:18:19,1.000,1.000,1.000,1.000
2025-09-01T11:18:26,1.000,1.000,1.000,1.000
2025-09-01T11:18:33,1.000,1.000,1.000,1.000
2025-09-01T11:18:40,1.000,1.000,1.000,1.000
2025-09-01T11:18:47,1.000,1.000,1.000,1.000
2025-09-01T11:18:54,1.000,1.000,1.000,1.000
2025-09-01T11:19:01,1.000,1.000,1.000,1.000
2025-09-01T11:19:08,1.000,1.000,1.000,1.000
2025-09-01T11:19:15,1.000,1.000,1.000,1.000
2025-09-01T11:19:28,0.161,0.388,0.163,0.489
2025-09-01T11:19:35,0.161,0.536,0.162,0.540
2025-09-01T11:19:42,0.162,0.646,0.162,0.457
2025-09-01T11:19:49,0.162,0.387,0.162,0.068
2025-09-01T11:19:56,0.162,0.287,0.162,0.510
2025-09-01T11:20:03,0.162,0.185,0.162,0.228
2025-09-01T11:20:10,0.162,0.262,0.162,0.483
2025-09-01T11:20:17,0.162,0.637,0.162,0.302
2025-09-01T11:20:24,0.162,0.088,0.162,0.574
2025-09-01T11:20:31,0.161,0.179,0.161,0.535
2025-09-01T11:20:38,0.161,0.607,0.161,0.203
2025-09-01T11:20:45,0.161,0.601,0.161,0.122
2025-09-01T11:20:52,0.161,0.558,0.161,0.468
2025-09-01T11:20:59,0.161,0.080,0.161,0.000
2025-09-01T11:21:07,0.162,0.652,0.162,0.146
2025-09-01T11:21:14,0.162,0.512,0.162,0.488
2025-09-01T11:21:21,0.162,0.220,0.162,0.345
2025-09-01T11:21:28,0.162,0.236,0.162,0.135
2025-09-01T11:21:35,0.162,0.545,0.162,0.432
2025-09-01T11:21:42,0.162,0.397,0.162,0.185
2025-09-01T11:21:49,0.162,0.314,0.162,0.542
2025-09-01T11:21:56,0.162,0.499,0.162,0.640
2025-09-01T11:22:03,0.162,0.260,0.162,0.123
2025-09-01T11:22:10,0.162,0.545,0.162,0.311
2025-09-01T11:22:17,0.162,0.646,0.162,0.117
2025-09-01T11:22:24,0.161,0.261,0.162,0.456
2025-09-01T11:22:31,0.161,0.210,0.161,0.063
2025-09-01T11:22:38,0.162,0.464,0.162,0.114
2025-09-01T11:22:45,0.162,0.629,0.163,0.302
2025-09-01T11:22:52,0.163,0.133,0.163,0.636
2025-09-01T11:22:59,0.163,0.289,0.163,0.273
2025-09-01T11:23:06,0.162,0.203,0.162,0.130
2025-09-01T11:23:13,0.162,0.141,0.162,0.065
2025-09-01T11:23:20,0.162,0.352,0.162,0.152
2025-09-01T11:23:27,0.162,0.129,0.162,0.588
2025-09-01T11:23:35,0.162,0.651,0.162,0.537
2025-09-01T11:23:42,0.162,0.242,0.162,0.406
2025-09-01T11:23:49,0.162,0.421,0.162,0.655
2025-09-01T11:23:56,0.162,0.458,0.162,0.363
2025-09-01T11:24:03,0.163,0.153,0.163,0.395
2025-09-01T11:24:10,0.163,0.061,0.163,0.190
2025-09-01T11:24:17,0.162,0.650,0.163,0.313
2025-09-01T11:24:24,0.163,0.141,0.163,0.232
2025-09-01T11:24:31,0.162,0.586,0.163,0.317
